繄|yi1
発|fa1
賮|jin4
尢|wang1
辢|la4
慅|sao1
拾|shi2
素|su4
妓|ji4
嚳|ku4
絁|shi1
醹|ru2
朩|xx5
駾|tui4
枳|zhi3
撲|pu1
膾|kuai4
表|biao3
蕿|xuan1
蕝|jue2
賊|zei2
鮀|tuo2
恂|xun2
墫|zun1
踡|quan2
几|ji1
蕡|fen2
礽|reng2
鞾|xue1
妗|jin4
甔|dan1
萍|ping2
鋻|jian4
醬|jiang4
驖|tie3
爕|xie4
韎|mei4
縏|pan2
踼|tang2
鷂|yao4
憧|chong1
饋|kui4
笙|sheng1
蟓|xiang4
媼|ao3
堌|gu4
饔|yong1
埋|man2
乵|yan3
哭|ku1
蜇|zhe2
瓼|li3 wa3
嚇|xia4
韔|chang4
黙|mo4
噤|jin4
綑|kun3
扣|kou4
旦|dan4
塿|lou3
巹|jin3
囷|qun1
榥|huang3
簏|lu4
蓱|ping2
巣|chao2
晳|xi1
嵗|sui4
曏|xiang4
躉|dun3
技|ji4
斒|ban1
豍|bi1
撈|lao1
苊|e4
郤|xi4
蕓|yun2
伍|wu3
憲|xian4
瑠|liu2
倹|jian3
抜|ba2
矻|ku1
鬷|zong1
笆|ba1
贍|shan4
傔|qian4
苺|mei2
皐|gao1
肵|jin4
葇|rou2
鋅|xin1
禸|rou2
罍|lei2
惟|wei2
耄|mao4
鶿|ci2
舛|chuan3
悰|cong2
茭|jiao1
假|jia4
絻|wen4
耦|ou3
屘|man3
各|ge4
柄|bing3
桹|lang2
咺|xuan3
雕|diao1
摁|en4
笊|zhao4
撮|zuo3
鴦|yang1
攣|luan2
袢|pan4
半|ban4
偷|tou1
凍|dong4
劵|juan4
驔|tan2
泩|sheng1
謌|ge1
葧|bo2
富|fu4
睺|hou2
祝|zhu4
儺|nuo2
媁|wei3
櫨|lu2
偓|wo4
圛|yi4
痠|suan1
舩|chuan2
悀|yong3
蓌|cuo4
瀠|ying2
皰|pao4
胼|pian2
蜛|ju1
歌|ge1
朵|duo3
戰|zhan4
迨|dai4
廌|zhi4
闑|nie4
棟|dong4
祘|suan4
㕁|que4
蹊|xi1
踺|jian4
跁|pa2
厄|e4
生|sheng1
耒|lei3
乣|jiu3
疕|bi3
楍|ben3
豺|chai2
鍰|huan2
畷|chuo4
姞|Ji2
鍹|xuan1
㘭|ao4
嵎|yu2
穜|tong2
噱|jue2
梐|bi4
嘸|m2
甌|ou1
袂|mei4
耵|ding1
聎|tiao1
鮜|hou4
格|ge2
霾|mai2
矍|jue2
鮒|fu4
卉|hui4
淌|tang3
通|tong4
譚|tan2
庱|Cheng3
迴|hui2
嫡|di2
抨|peng1
獺|ta3
檝|ji2
崩|beng1
㵮|chun2
苣|ju4
句|ju4
墁|man4
羵|fen3
廷|ting2
筵|yan2
哮|xiao4
礞|meng2
適|shi4
斡|wo4
繭|jian3
䂲|fa3
鯰|nian2
酕|mao2
瓅|li4
妥|tuo3
仗|zhang4
埈|jun4
録|lu4
咽|ye4
楩|pian2
郾|yan3
礅|dun1
薸|piao1
栘|yi2
茯|fu2
瞀|mao4
唾|tuo4
伽|jia1
鵡|wu3
嬅|hua2
蕑|jian1
衣|yi4
鬟|huan2
醻|chou2
舞|wu3
績|ji4
岹|tiao2
左|zuo3
烔|tong2
厾|du1
怞|zhou4
牤|mang1
秚|ban4
彧|yu4
蹀|die2
碩|shuo4
匐|fu2
譁|hua2
剪|jian3
苤|pie3
咈|fu2
穣|rang2
菔|fu2
欻|xu1
碧|bi4
狡|jiao3
銭|qian2
蹈|dao3
搕|ke4
凌|ling2
啗|dan4
帲|ping2
月|yue4
鉗|qian2
蚍|pi2
氠|shen1
礆|jian3
杝|yi2
鬘|man2
畑|tian2
嬖|bi4
秏|hao4
星|xing1
長|zhang3
幾|ji3
懃|qin2
挾|xie2
架|jia4
抻|chen1
襯|chen4
獼|mi2
蘐|xuan1
篇|pian1
爥|zhu2
巤|lie4
請|qing3
搷|chen1
詈|li4
氯|lu:4
苾|bi4
鉋|bao4
鱻|xian3
甸|dian4
勐|meng3
嶧|yi4
靝|tian1
泈|Zhong1
珪|gui1
閶|chang1
飃|piao1
帗|fu2
瓁|wo4
幫|bang1
濶|kuo4
煙|yan1
霖|lin2
麃|pao2
契|qi4
乘|sheng4
睪|yi4
柑|gan1
繕|shan4
躣|qu2
薾|er3
鏹|qiang3
縞|gao3
喉|hou2
鼠|shu3
帶|dai4
琖|zhan3
嶼|yu3
匈|xiong1
腓|fei2
才|cai2
跂|zhi1
瑽|cong1
皺|zhou4
仍|reng2
尓|er3
禝|ji4
年|nian2
儸|luo2
征|zheng1
瑀|yu3
堽|gang1
㐅|wu3
睒|shan3
郈|Hou4
許|xu3
騄|lu4
鱸|lu2
麈|zhu3
唅|han1
遍|bian4
垜|duo3
欶|shuo4
蒽|en1
晄|huang3
篹|zuan3
獪|kuai4
衉|ke4
鐇|fan2
賢|xian2
潵|san4
囨|pian1
聴|ting1
埂|geng3
渼|mei3
輓|wan3
旣|ji4
瓮|weng4
嘻|xi1
楪|die2
箱|xiang1
蔥|cong1
檴|huo4
転|zhuan3
跙|ju3
凵|kan3
未|wei4
灉|yong1
堮|e4
浪|lang4
再|zai4
趮|zao4
麄|cu1
楹|ying2
纁|xun1
㥦|qie4
邰|Tai2
虡|ju4
農|nong2
洳|ru4
旃|zhan1
埤|pi2
驟|zhou4
䊀|hu2
眨|zha3
娘|niang2
嫜|zhang1
翱|ao2
某|mou3
仄|ze4
墒|shang1
旺|wang4
荻|di2
寀|cai4
螭|chi1
尺|chi3
臝|luo3
耊|die2
蔋|di2
伈|xin3
六|liu4
垯|da5
穯|se4
捱|ai2
交|jiao1
㬉|nuan3
仝|tong2
代|dai4
炁|qi4
鎧|kai3
鯀|Gun3
黱|dai4
揑|nie1
菷|zhou3
登|deng1
攩|dang3
嚱|xi1
蝋|la4
俔|qian4
髯|ran2
謭|jian3
鬏|jiu1
纑|lu2
眞|zhen1
姥|mu3
尜|ga2
桿|gan3
戦|zhan4
玶|ping2
皚|ai2
捲|juan3
邃|sui4
齬|yu3
饢|nang3
軷|ba2
煞|sha4
荔|li4
刑|xing2
鐠|pu3
曜|yao4
擖|ge3
茈|zi3
幪|meng2
紽|tuo2
瑢|rong2
權|quan2
宋|Song4
撒|sa3
齊|qi2
餐|can1
畹|wan3
鵟|kuang2
殗|ye4
塲|chang3
認|ren4
蛻|tui4
㵪|xian2
浼|mei3
茴|hui2
焴|yu4
紛|fen1
痢|li4
旗|qi2
涴|wo4
寨|zhai4
潘|Pan1
襞|bi4
夶|bi3
鬥|dou4
殞|yun3
玖|jiu3
蔑|mie4
畮|mu3
荄|gai1
瓞|die2
䖸|e2
瓻|chi1
夣|meng4
撿|jian3
氨|an1
閫|kun3
鎳|nie4
位|wei4
卮|zhi1
杗|mang2
皀|bi1
佼|jiao3
羨|xian4
縵|man4
枓|dou3
忘|wang4
癥|zheng1
讌|yan4
題|ti2
碝|ruan3
萸|yu2
悄|qiao3
痊|quan2
牒|die2
筠|yun2
艮|gen4
譡|dang3
孼|nie4
膦|lin4
跴|cai3
駙|fu4
県|xian4
儊|chu4
牄|qiang1
榿|qi1
暪|men4
銨|an3
勄|min3
裉|ken4
蚯|qiu1
駋|zhao1
熤|yi4
姨|yi2
橈|rao2
衂|nu:4
蟟|liao2
悐|ti4
詐|zha4
蕁|xun2
銕|tie3
蠭|feng1
攸|you1
械|xie4
赩|xi4
寘|zhi4
嚮|xiang4
諮|zi1
弒|shi4
脒|mi3
頃|qing3
撩|liao2
痩|shou4
旋|xuan4
璊|men2
堰|yan4
莉|li4
艚|cao2
頗|po1
葑|feng1
祜|hu4
腙|zong1
荊|jing1
飈|biao1
垝|gui3
耬|lou2
欿|kan3
誯|chang4
劄|zha2
亢|kang4
侜|zhou1
齯|ni2
偶|ou3
翃|hong2
起|qi3
踒|wo1
鏈|lian4
垂|chui2
貲|zi1
楂|zha1
僯|lin3
掏|tao1
舨|ban3
響|xiang3
屧|xie4
踜|leng4
瑇|dai4
鱘|xun2
恉|zhi3
會|kuai4
土|tu3
灨|Gan4
擫|ye4
蕉|qiao2
凄|qi1
檵|qi3
獮|xian3
劉|Liu2
嫬|zhe1
纏|chan2
鹻|jian3
蟣|ji3
闗|guan1
倭|wo1
祿|lu4
妳|ni3
褥|ru4
醽|ling2
俎|zu3
曛|xun1
系|xi4
饃|mo2
嗝|ge2
閣|ge2
嘬|zuo1
艻|le4
寕|ning4
鋹|chang3
鑽|zuan4
獙|bi4
柹|shi4
奴|nu2
渭|Wei4
庄|zhuang1
篋|qie4
烙|lao4
聾|long2
渶|Ying1
子|zi5
摧|cui1
冊|ce4
黑|hei1
鰜|jian1
衋|xi4
種|zhong4
抓|zhua1
顫|chan4
艨|meng2
兒|r5
放|fang4
鋟|qin2
抆|wen4
襤|lan2
頔|di2
焦|jiao1
洱|er3
藇|xu4
鞴|bei4
董|dong3
袽|ru2
呦|you1
懤|chou2
物|wu4
洎|ji4
蟅|zhe4
菡|han4
黜|chu4
遣|qian3
溫|wen1
灰|hui1
岫|xiu4
槺|kang1
煏|bi4
娥|e2
棯|ren3
濼|luo4
鷯|liao2
恧|nu:4
矛|mao2
櫜|gao1
儃|chan2
鞙|xuan4
戮|lu4
㢴|xi1
晑|xiang3
乹|gan1
椆|chou2
槔|gao1
樻|gui4
路|lu4
扭|niu3
穤|nuo4
恿|yong3
貼|tie1
簦|deng1
疲|pi2
蠔|hao2
巋|kui1
杳|yao3
蕊|rui3
幛|zhang4
誡|jie4
猿|yuan2
攢|zan3
示|shi4
於|wu1
暁|xiao3
鏊|ao4
藊|bian3
剣|jian4
糈|xu3
虓|xiao1
亅|jue2
致|zhi4
齏|ji1
徠|lai2
測|ce4
齉|nang4
㝇|chun2
瓚|zan4
孿|luan2
醜|chou3
儳|chan4
蝘|yan3
岐|qi2
齇|zha1
驕|jiao1
溈|gui1
饁|ye4
氄|rong3
韈|wa4
解|xie4
鉅|ju4
篶|yan1
曈|tong2
琢|zuo2
籤|qian1
匵|du2
鶒|chi4
偝|bei4
慨|kai3
訃|fu4
敹|liao2
迿|xun4
哂|shen3
暖|nuan3
刷|shua4
覜|tiao4
陔|gai1
哞|mou1
蓺|yi4
侢|dai4
膙|jiang3
鋱|te4
競|jing4
帝|di4
愔|yin1
敝|bi4
築|zhu4
爿|pan2
尬|ga4
戩|jian3
勯|dan1
愜|qie4
朧|long2
睫|jie2
闒|ta4
嫣|yan1
蟨|jue2
十|shi2
勣|ji4
爟|guan4
壠|long3
篡|cuan4
靠|kao4
雘|huo4
僿|sai4
銤|mi3
衆|zhong4
栢|bai3
鴳|yan4
鰉|huang2
歉|qian4
硜|keng1
艅|yu2
逛|guang4
萄|tao2
偪|bi1
蟳|xun2
浦|pu3
趂|chen4
樟|zhang1
諂|chan3
鍋|guo1
鯇|huan4
櫱|nie4
氕|pie1
我|wo3
蝃|zhuo1
鶱|xuan1
拎|lin1
鷥|si1
杭|Hang2
腑|fu3
躳|gong1
傕|jue2
浰|li4
榴|liu2
稍|shao4
蜖|hui2
勍|qing2
死|si3
臌|gu3
瀛|ying2
鋥|zeng4
沉|chen2
鋁|lu:3
喬|qiao2
進|jin4
椎|zhui1
咴|hui1
懂|dong3
箮|xuan1
庽|yu4
栄|rong2
砳|le4
曾|zeng1
狐|hu2
鎸|juan1
哦|o5
郭|guo1
渉|she4
憙|xi3
揭|jie1
灺|xie4
艿|nai3
窣|su4
口|kou3
栭|er2
亙|gen4
勱|mai4
鷓|zhe4
攼|han4
亊|shi4
班|ban1
鵀|ren4
滉|huang3
轙|yi3
歁|kan3
踊|yong3
矩|ju3
瞌|ke1
乤|xx5
齚|ze2
亇|ge4
婦|fu4
社|she4
餪|nuan3
卐|wan4
妞|niu1
趦|zi1
彑|ji4
剜|wan1
薔|qiang2
茄|qie2
復|fu4
棨|qi3
蠩|zhu1
殄|tian3
臭|xiu4
丄|shang4
參|shen1
靚|liang4
齋|zhai1
宣|xuan1
攀|pan1
蘤|hua1
堨|e4
肺|fei4
尼|ni2
鉍|bi4
靿|yao4
肟|wo4
瞎|xia1
酔|zui4
呡|wen3
顬|ru2
䞓|cheng1
峯|feng1
婽|jia3
沷|fa1
扃|jiong1
疤|ba1
赤|chi4
樂|yue4
祭|ji4
俴|jian4
尖|jian1
幬|dao4
膗|chuai2
灒|zan4
圊|qing1
紅|hong2
㯳|qing2
暢|chang4
停|ting2
両|liang3
奇|qi2
孓|jue2
葽|yao1
攔|lan2
廈|sha4
誃|chi3
楬|jie2
譒|bo4
羱|yuan2
笀|mang2
鮞|er2
蜋|lang2
泌|mi4
華|hua2
羃|mi4
即|ji2
圻|qi2
減|jian3
朁|can3
鈥|huo3
乇|zhe2
採|cai3
泖|mao3
冱|hu4
倡|chang4
廡|wu3
丨|shu4
峋|xun2
雰|fen1
澳|ao4
胞|bao1
棣|di4
氿|gui3
展|zhan3
毎|mei3
鶇|dong1
酇|zan4
韙|wei3
粁|qian1
隸|li4
卟|bu3
屴|li4
噛|nie4
蝰|kui2
謁|ye4
怲|bing3
氚|chuan1
圭|gui1
継|ji4
佷|hen3
誼|yi4
痕|hen2
萻|an1
佑|you4
蜐|jie2
敢|gan3
嗪|qin2
縯|yin3
獾|huan1
呲|zi1
捅|tong3
樐|lu3
㳒|fa3
邢|Xing2
量|liang4
閥|fa2
以|yi3
筌|quan2
腥|xing1
杖|zhang4
漭|mang3
璱|se4
犍|jian1
靼|da2
禢|Ta4
鶘|hu2
應|ying4
軋|zha2
奰|bi4
慍|yun4
腌|yan1
黏|nian2
漣|lian2
萜|tie1
電|dian4
姻|yin1
鷸|yu4
叔|shu1
詿|gua4
李|li3
姘|pin1
咖|ka1
拘|ju1
毅|yi4
忝|tian3
箕|ji1
底|di3
陝|Shan3
鰦|zi1
婚|hun1
于|yu2
虷|gan1
琇|xiu4
誇|kua1
擯|bin4
程|cheng2
毖|bi4
祫|xia2
鍁|xian1
誌|zhi4
宿|xiu4
鬮|jiu1
靉|ai4
貜|jue2
既|ji4
説|shuo1
椸|yi2
喺|xi3
吔|ye1
哰|lao2
佹|gui3
彖|tuan4
摠|zong3
闈|wei2
挵|nong4
巰|qiu2
釂|jiao4
坎|kan3
忛|fan1
嫋|niao3
堤|di1
辰|chen2
惜|xi1
牷|quan2
遢|ta4
塠|dui1
樘|tang2
荑|yi2
邿|shi1
鄜|fu1
吏|li4
襾|ya4
囀|zhuan4
羸|lei2
呸|pei1
摂|she4
蠁|xiang4
渋|se4
幩|fen2
凢|fan2
鉤|gou1
雗|han4
捌|ba1
籣|lan2
拓|tuo4
甗|yan3
判|pan4
舜|Shun4
嫿|hua4
匆|cong1
嗦|suo1
陬|zou1
醞|yun4
中|zhong4
弣|fu3
凼|dang4
搴|qian1
訛|e2
繇|zhou4
鉕|po3
眣|die2
眽|mo4
潭|tan2
鍠|huang2
泱|yang1
訾|zi3
誧|pu3
瘼|mo4
捽|zuo2
九|jiu3
暜|pu3
霝|ling2
幌|huang3
舉|ju3
榼|ke4
酯|zhi3
坩|gan1
磲|qu2
萘|nai4
漸|jian4
嗀|huo4
裋|shu4
犢|du2
蹚|tang1
斄|Tai2
筈|gua1
棄|qi4
悝|li3
鐵|tie3
鸓|lei3
雝|yong1
錡|qi2
汆|cuan1
綻|zhan4
碔|wu3
呈|cheng2
謨|mo2
蝶|die2
旀|mie5
鋨|e2
房|fang2
挑|tiao3
涖|li4
離|li2
紆|yu1
蒡|bang4
佃|tian2
瀰|mi2
鵪|an1
腍|ren3
硨|che1
蛛|zhu1
鰟|pang2
諠|xuan1
䠞|cu4
祍|ren4
裛|yi4
覐|jue2
衩|cha4
鏐|liu2
襇|jian3
皷|gu3
幸|xing4
朙|ming2
隖|wu4
氹|dang4
擬|ni3
絛|tao1
遵|zun1
儩|si4
葷|hun1
豸|zhi4
紊|wen3
咬|yao3
臕|biao1
㕑|chu2
潗|ji2
睘|qiong2
阡|qian1
昬|hun1
討|tao3
薦|jian4
佴|er4
蕮|xi4
黦|yu4
穠|nong2
譲|rang4
躙|lin4
或|huo4
美|mei3
覊|ji1
捏|nie1
埦|wan3
綉|xiu4
冘|yin2
攋|la4
蜨|die2
吋|cun4
熲|jiong3
崇|chong2
旰|gan4
傚|xiao4
抄|chao1
該|gai1
鍥|qie4
鱅|yong1
丏|mian3
羰|tang1
羂|juan4
獢|xiao1
跽|ji4
怍|zuo4
裱|biao3
岷|min2
燋|jiao1
憒|kui4
跫|qiong2
踁|jing4
忽|hu1
櫪|li4
獴|meng3
箛|gu1
醛|quan2
鄶|Kuai4
瞹|ai4
鳫|yan4
佔|zhan4
宸|chen2
澽|Ju4
藨|biao1
娿|e1
鑠|shuo4
待|dai4
魠|tuo1
粑|ba1
饈|xiu1
柂|yi2
耶|ye5
褯|jie4
錮|gu4
鴗|li4
擢|zhuo2
賧|dan3
詁|gu3
舝|xia2
魸|pian4
貌|mao4
嗐|hai4
夙|su4
講|jiang3
乼|xx5
螡|wen2
漷|kuo4
蟹|xie4
蹮|xian1
嘛|ma5
艄|shao1
澱|dian4
熀|huang3
扆|yi3
戲|xi4
倉|cang1
塽|shuang3
泛|fan4
芴|wu4
袞|gun3
琹|qin2
蹌|qiang4
艜|dai4
駠|liu2
恡|lin4
蕐|hua2
痻|min2
碾|nian3
醴|li3
鷚|liu4
褭|niao3
鬃|zong1
鷽|xue2
玍|ga3
砫|zhu3
遠|yuan4
蜊|li2
跥|duo4
獘|bi4
掊|pou3
瘭|biao1
痰|tan2
棗|zao3
今|jin1
帨|shui4
滎|xing2
杷|pa2
桎|zhi4
膨|peng2
鋩|mang2
罎|tan2
秀|xiu4
籧|qu2
蓁|zhen1
旹|shi2
柙|xia2
痴|chi1
娀|song1
砼|tong2
蚜|ya2
俄|e2
巿|fu2
淸|qing1
雛|chu2
飠|shi2
三|san1
揌|sai1
皆|jie1
謑|xi4
変|bian4
厜|zui1
潼|tong2
裠|qun2
揀|jian3
同|tong2
棠|tang2
餻|gao1
譾|jian3
吶|na5
漖|jiao4
徂|cu2
蔔|bo5
陛|bi4
蘊|yun4
适|kuo4
毑|jie3
鈑|ban3
疥|jie4
畾|lei2
盻|xi4
頻|pin2
筀|gui4
蕗|lu4
瑃|chun1
紇|he2
鵐|wu2
熰|ou3
埀|chui2
睨|ni4
蝄|wang3
瞬|shun4
邙|Mang2
濡|ru2
閃|shan3
湯|tang1
躦|zuan1
楳|mei2
戺|shi4
〡|yi1
㞙|niao4
窆|bian3
咮|zhou4
蔴|ma2
笄|ji1
洺|ming2
噝|si1
韛|bai4
暑|shu3
鋂|mei2
仮|jia3
用|yong4
魏|wei4
敞|chang3
燙|tang4
薷|ru2
鎌|lian2
苻|fu2
荁|huan2
帆|fan1
浜|bin1
閒|xian2
鱧|li3
鎘|ge2
焌|qu1
撆|pie1
瀌|biao1
匚|fang1
背|bei4
蹭|ceng4
憸|xian1
耼|dan1
覔|mi4
恨|hen4
餗|su4
巴|ba1
潮|chao2
繅|sao1
恵|hui4
髩|bin4
麽|me5
敦|dun1
昞|bing3
豅|long2
桯|ting1
唉|ai4
侅|gai1
謀|mou2
永|yong3
婞|xing4
躲|duo3
鮦|tong2
笉|qin3
凸|tu1
獗|jue2
蒨|qian4
篠|xiao3
耪|pang3
箠|chui2
僇|lu4
法|fa3
謷|ao2
禾|he2
堳|mei2
瞍|sou3
締|di4
策|ce4
魍|wang3
晻|an4
羑|you3
乾|gan1
嚴|yan2
卍|wan4
覬|ji4
撚|nian3
狘|yue4
蟮|shan4
咸|xian2
衰|shuai1
迋|wang4
戛|jia2
洟|ti4
緦|si1
豣|jian1
崔|cui1
艩|qi2
意|yi4
占|zhan4
顕|xian3
嶪|ye4
砲|pao4
髓|sui3
墈|kan4
蝙|bian1
陼|zhu3
音|yin1
俷|fei4
番|fan1
暨|ji4
嗻|zhe4
籹|nu:3
釵|chai1
刨|pao2
鉸|jiao3
溉|gai4
擱|ge2
煚|jiong3
熹|xi1
野|ye3
糔|xiu3
鋳|zhu4
澣|huan4
褊|bian3
庭|ting2
筦|guan3
叵|po3
瀟|xiao1
綯|tao2
肴|yao2
釭|gang1
淄|zi1
勘|kan1
暄|xuan1
檠|qing2
乭|shi2
嶓|bo1
騠|ti2
娶|qu3
萊|lai2
浴|yu4
匲|lian2
驎|lin2
輳|cou4
笥|si4
万|Mo4
徃|wang3
輔|fu3
毾|ta4
鬄|ti4
烴|ting1
棱|leng2
歮|se4
袵|ren4
媻|pan2
墅|shu4
涌|yong3
珓|jiao4
蕶|ling2
裹|guo3
鈳|ke1
夔|Kui2
扤|wu4
桭|zhen1
遂|sui4
瓿|bu4
坼|che4
妵|tou3
藹|ai3
橢|tuo3
讅|shen3
嗹|lian2
罥|juan4
孳|zi1
禹|Yu3
椉|cheng2
膛|tang2
柷|zhu4
礄|qiao2
裲|liang3
炲|tai2
賛|zan4
咲|xiao4
骯|ang1
歸|gui1
筭|suan4
悻|xing4
垠|yin2
北|bei3
伏|fu2
黼|fu3
昑|qin3
拴|shuan1
佾|yi4
嚄|o3
蕆|chan3
酞|tai4
骫|wei3
璅|suo3
耘|yun2
鋏|jia2
儭|chen4
愚|yu2
関|guan1
霄|xiao1
嗶|bi4
纛|dao4
篪|chi2
禍|huo4
牋|jian1
茸|rong2
倀|chang1
闇|an4
徯|xi1
張|zhang1
遞|di4
輻|fu2
佡|xian1
諏|zou1
廾|gong3
規|gui1
旤|huo4
貆|huan2
逵|kui2
粇|kang1
繠|rui3
鏻|lin2
㪋|han4
斨|qiang1
砅|li4
麿|xx5
礲|long2
殮|lian4
㡌|mao4
娃|wa2
羀|liu3
咫|zhi3
菱|ling2
薖|ke1
荍|qiao2
澥|xie4
爍|shuo4
轒|fen2
鞧|qiu1
峂|tong2
讜|dang3
焄|xun1
涙|lei4
褱|huai2
丶|zhu3
堯|Yao2
澆|jiao1
弶|jiang4
惇|dun1
魣|yu2
挓|zha1
砟|zha3
魖|xu1
弳|jing4
陂|po1
晒|shai4
抱|bao4
晷|gui3
肢|zhi1
黛|dai4
桅|wei2
躪|lin4
輶|you2
室|shi4
昆|kun1
瑙|nao3
炕|kang4
易|yi4
嗔|chen1
鈐|qian2
躛|wei4
琉|liu2
裒|pou2
鴈|yan4
勸|quan4
催|cui1
畛|zhen3
獧|juan4
趔|lie4
跮|chi4
瘢|ban1
苯|ben3
窩|wo1
㤅|ai4
卻|que4
摯|zhi4
滬|Hu4
謎|mi2
棸|Zou1
懱|mie4
卡|qia3
矨|ying3
蠚|he1
戸|hu4
篥|li4
兀|wu4
戴|dai4
癔|yi4
幙|mu4
傈|Li4
澗|jian4
踶|di4
迂|yu1
燭|zhu2
蕚|e4
鎣|ying2
序|xu4
墖|ta3
墓|mu4
炫|xuan4
㑺|jun4
籅|yu2
頞|e4
彬|bin1
釋|shi4
丒|chou3
玢|fen1
崠|Dong1
甞|chang2
藁|gao3
蝳|dai4
釃|shi1
杠|gang4
驌|su4
袚|fu2
讒|chan2
醆|zhan3
鏦|cong1
眰|die2
賵|feng4
嘐|xiao1
綺|qi3
譆|xi1
糙|cao1
舂|chong1
樗|chu1
牿|gu4
鰛|wen1
翬|hui1
蔉|gun3
鬗|man4
圮|pi3
罭|yu4
橿|jiang1
慱|tuan2
螓|qin2
覲|jin4
鬑|lian2
黐|chi1
鞏|gong3
蛩|qiong2
沴|li4
犠|xi1
嚙|nie4
視|shi4
壽|shou4
躘|long2
霺|wei1
瘰|luo3
覿|di2
垡|fa2
畦|qi2
鍱|ye4
睟|sui4
麻|ma2
莙|jun1
簰|pai2
梆|bang1
痲|ma2
茻|mang3
匳|lian2
寄|ji4
福|fu2
勇|yong3
癢|yang3
巜|kuai4
癯|qu2
珡|qin2
隒|yan3
紘|hong2
蕷|yu4
榊|xx5
匕|bi3
尒|er3
陿|xia2
羴|shan1
姐|jie3
蟜|jiao3
逌|you2
稼|jia4
鼬|you4
蓐|ru4
稷|ji4
駅|yi4
褪|tun4
迥|jiong3
昡|xuan4
鉧|mu3
螫|shi4
庾|Yu3
愎|bi4
逓|di4
戊|wu4
薰|xun1
豫|yu4
坯|pi1
連|lian2
薑|jiang1
勖|xu4
甾|zai1
鷫|su4
慮|lu:4
杙|yi4
饄|tang2
貤|yi2
砬|la2
衒|xuan4
吭|keng1
棁|zhuo1
粦|lin2
崓|gu4
斎|zhai1
窬|yu2
簟|dian4
蚵|e2
紥|zha1
粽|zong4
鑪|lu2
井|jing3
遡|su4
栁|liu3
莦|shao1
機|ji1
殉|xun4
飩|tun2
揣|chuai3
租|zu1
芨|ji2
詻|e4
后|hou4
齞|nian4
惡|wu4
岊|jie2
有|you3
溪|xi1
剷|chan3
蓆|xi2
冰|bing1
畎|quan3
鯕|qi2
薿|ni3
饌|zhuan4
苒|ran3
垣|yuan2
惌|yuan1
釜|fu3
蛔|hui2
霧|wu4
蹢|di2
窕|tiao3
街|jie1
緫|zong3
餀|hai4
虉|yi4
果|guo3
懋|mao4
找|zhao3
朦|meng2
敍|xu4
嶲|xi1
絺|chi1
剙|chuang4
羆|pi2
譖|zen4
沽|gu1
胎|tai1
罇|zun1
㐌|ta1
刵|er4
觡|ge2
儒|ru2
無|wu2
韅|xian3
冤|yuan1
哈|ha3
拒|ju4
嚝|hong1
宛|wan3
寰|huan2
惠|hui4
斮|zhuo2
咤|zha4
癄|qiao2
群|qun2
諧|xie2
儅|dang1
村|cun1
町|ting3
迎|ying2
檃|yin3
魔|mo2
衈|er4
哥|ge1
鰾|biao4
訌|hong4
躺|tang3
剹|lu4
匽|yan3
嚎|hao2
堉|yu4
鷁|yi4
頰|jia2
鮨|qi2
槪|gai4
薩|Sa4
洙|zhu1
騺|zhi4
灣|wan1
諫|jian4
粿|guo3
磔|zhe2
限|xian4
恞|yi2
巚|yan3
受|shou4
茘|li4
救|jiu4
喈|jie1
齗|yin2
萇|chang2
頏|hang2
踞|ju4
滏|fu3
氛|fen1
惰|duo4
潚|xiao1
衇|mai4
醣|tang2
威|wei1
鐿|yi4
實|shi2
悼|dao4
嵛|yu2
筸|gan1
昭|zhao1
蕙|hui4
飌|feng1
運|yun4
腧|shu4
茗|ming2
侮|wu3
砦|zhai4
絮|xu4
槻|gui1
瞼|jian3
鑳|jian4
申|shen1
哲|zhe2
患|huan4
柔|rou2
蜘|zhi1
蘅|heng2
醇|chun2
罽|ji4
存|cun2
忲|tai4
丁|ding1
喌|zhou1
瞽|gu3
猙|zheng1
挿|cha1
跅|tuo4
靨|ye4
瓩|qian1 wa3
窸|xi1
蓑|suo1
馱|tuo2
恤|xu4
呢|ni2
燂|qian2
嶄|zhan3
嶠|jiao4
甽|quan3
挊|nong4
抦|bing3
潞|Lu4
癕|yong1
嘎|ga2
鯨|jing1
撋|ruan2
珅|shen1
槧|qian4
漥|wa1
藍|lan2
豚|tun2
鞅|yang1
兔|tu4
拖|tuo1
蒦|huo4
鶩|wu4
消|xiao1
褟|ta1
蠆|chai4
怱|cong1
齵|yu2
凶|xiong1
奄|yan3
哫|zu2
轇|jiu1
滴|di1
渓|xi1
蝎|xie1
臨|lin2
玉|yu4
熈|xi1
襝|lian3
鍳|jian4
煊|xuan1
劦|xie2
圩|xu1
顱|lu2
輪|lun2
阮|Ruan3
梔|zhi1
臬|nie4
褡|da1
搆|gou4
黿|yuan2
聚|ju4
朮|zhu2
鎞|bi4
汫|jing3
沒|mo4
鵞|e2
諱|hui4
鱷|e4
臂|bi4
逭|huan4
詭|gui3
甫|fu3
蹋|ta4
餄|he2
滂|pang1
士|shi4
饉|jin3
桚|zan3
瑑|zhuan4
閈|han4
箎|chi2
訊|xun4
恓|xi1
臥|wo4
們|men5
殂|cu2
信|xin4
鞫|ju1
搘|zhi1
珶|di4
嘔|ou3
嚵|chan2
畚|ben3
