盘|pan2
庚|geng1
樠|men2
鲔|wei3
垄|long3
芸|yun2
剰|sheng4
锑|ti1
蓷|tui1
呉|Wu2
璲|sui4
舌|she2
稆|lu:3
睚|ya2
嚣|xiao1
艺|yi4
刺|ci4
畎|quan3
戗|qiang1
涿|zhuo1
阪|ban3
檇|zui4
招|zhao1
佶|ji2
印|yin4
鳗|man2
屈|qu1
咚|dong1
藿|huo4
畈|fan4
纩|kuang4
袺|jie2
黀|zou1
鼽|qiu2
霍|huo4
咬|yao3
縻|mi2
鹋|miao2
㱮|kui4
鼗|tao2
偾|fen4
醆|zhan3
彐|ji4
竣|jun4
栟|bing1
乒|ping1
髽|zhua1
跦|zhu1
铨|quan2
塁|lei3
呡|wen3
褰|qian1
膲|jiao1
侚|xun4
虗|xu1
豨|xi1
泭|fu1
䗖|di4
蝗|huang2
辘|lu4
子|zi5
帮|bang1
纽|niu3
聂|nie4
偃|yan3
段|duan4
玄|xuan2
蔇|ji4
薉|wei4
囹|ling2
猓|guo3
湾|wan1
给|ji3
鄵|Cao4
膈|ge2
炎|yan2
靁|lei2
滠|she4
猃|xian3
憪|xian2
躜|zuan1
靶|ba3
俉|wu2
土|tu3
嗣|si4
腧|shu4
郷|xiang1
卑|bei1
嫣|yan1
曜|yao4
擘|bo4
筐|kuang1
詀|zhan1
髩|bin4
左|zuo3
萎|wei3
颎|jiong3
丫|ya1
軖|kuang2
垩|e4
皕|bi4
戕|qiang1
猫|mao1
寇|kou4
沥|li4
嗕|Ru4
妯|zhou2
斤|jin1
儜|ning2
肭|na4
秾|nong2
佸|huo2
饷|xiang3
泜|zhi1
攰|gui4
犰|qiu2
填|tian2
筎|ru2
绉|zhou4
郗|Chi1
朰|xx5
辐|fu2
嚜|me5
檍|yi4
箯|bian1
薆|ai4
酱|jiang4
岔|cha4
徬|pang2
読|du2
杇|wu1
㷖|zhao4
鳛|xi2
羽|yu3
螂|lang2
嗿|tan3
污|wu1
配|pei4
皤|po2
閺|wen2
坚|jian1
潃|xiu3
亍|chu4
峞|wei2
鬣|lie4
廆|hui4
瓩|qian1 wa3
侀|xing2
媏|duan1
筳|ting2
掬|ju1
枓|dou3
绺|liu3
艁|zao4
糇|hou2
蛉|ling2
哫|zu2
烜|xuan3
釱|di4
眣|die2
玢|fen1
銵|keng1
圱|su2
騆|zhou1
桶|tong3
岣|gou3
拘|ju1
悼|dao4
坴|lu4
喘|chuan3
聴|ting1
杙|yi4
磴|deng4
顷|qing3
匴|suan3
童|tong2
纨|wan2
袒|tan3
赝|yan4
锝|de2
吭|keng1
㷭|feng1
跽|ji4
呶|nu3
惘|wang3
菏|He2
搅|jiao3
鳊|bian1
棃|li2
弌|yi1
熴|kun1
啻|chi4
綦|qi2
潦|lao3
徐|xu2
迭|die2
缩|suo1
鞞|bing3
爿|pan2
元|yuan2
委|wei3
譈|dui4
洮|tao2
妵|tou3
一|yi1
鼪|sheng1
膗|chuai2
跕|die2
瞧|qiao2
磖|la2
榕|rong2
禄|lu4
鏦|cong1
案|an4
褏|xiu4
苛|ke1
渤|Bo2
灰|hui1
讷|ne4
溟|ming2
韱|xian1
佞|ning4
磵|jian4
蚀|shi2
漠|mo4
嫂|sao3
贺|he4
坟|fen2
恉|zhi3
命|ming4
瘊|hou2
侇|yi2
匔|gong1
凼|dang4
蜀|Shu3
窈|yao3
歫|ju4
氢|qing1
脾|pi2
琢|zuo2
瞻|zhan1
鲘|hou4
浐|chan3
噬|shi4
㺢|huo4
鉄|zhi4
懊|ao4
销|xiao1
黓|yi4
氿|gui3
痭|peng2
助|zhu4
缃|xiang1
侽|nan2
蕗|lu4
期|qi1
憋|bie1
拾|shi2
翡|fei3
欙|lei2
桄|guang4
身|shen1
荩|jin4
屩|jue1
垌|dong4
昶|chang3
茧|jian3
苪|bing3
邱|qiu1
倅|cui4
缶|fou3
淢|yu4
低|di1
喈|jie1
磡|kan4
昔|xi1
顺|shun4
磔|zhe2
放|fang4
戾|li4
咙|long2
襦|ru2
椋|liang2
宧|yi2
减|jian3
哒|da1
饭|fan4
瓀|ruan3
杷|pa2
晶|jing1
衫|shan1
竖|shu4
儹|zan3
沈|shen3
殖|zhi2
鞲|gou1
播|bo1
隆|long2
淟|tian3
檬|meng2
幷|bing4
蠧|du4
趵|bao4
鞋|xie2
源|yuan2
庁|ting1
煊|xuan1
硼|peng2
莨|lang4
徵|zhi3
廖|Liao4
咔|ka3
涊|nian3
煮|zhu3
牁|ke1
庆|qing4
瓢|piao2
绻|quan3
蔹|lian3
抿|min3
此|ci3
踠|wan3
墐|jin3
萐|sha4
们|men5
啭|zhuan4
隶|li4
嗷|ao2
曹|cao2
羡|xian4
胭|yan1
疃|tuan3
芒|mang2
电|dian4
峭|qiao4
剚|zi4
珽|ting3
箎|chi2
玭|pin2
褒|bao1
锐|rui4
蚪|dou3
拴|shuan1
嗔|chen1
恝|jia2
彰|zhang1
檃|yin3
嚷|rang3
宽|kuan1
佯|yang2
碑|bei1
屼|wu4
哌|pai4
嫉|ji2
落|luo4
啅|zhao4
抆|wen4
訳|yi4
河|he2
澔|hao4
乑|zhong4
醵|ju4
少|shao4
烁|shuo4
蜱|pi2
笞|chi1
楞|leng4
埴|zhi2
衉|ke4
铹|lao2
頯|kui2
搳|hua2
磁|ci2
冯|ping2
栃|li4
窿|long2
駋|zhao1
摒|bing4
泱|yang1
饲|si4
煐|ying1
件|jian4
焄|xun1
賮|jin4
眚|sheng3
朓|tiao4
烓|wei1
宠|chong3
罾|zeng1
訚|yin2
腬|rou2
酪|lao4
旆|pei4
鼱|jing1
喼|jie2
唎|li5
腙|zong1
螚|nai4
馒|man2
氅|chang3
汏|da4
偏|pian1
刳|ku1
调|tiao2
扢|xi4
挠|nao2
牼|keng1
瀺|chan2
机|ji1
搿|ge2
䬪|bo2
皑|ai2
莹|ying2
娅|ya4
溱|zhen1
诃|he1
批|pi1
蛲|nao2
耧|lou2
汨|Mi4
驿|yi4
洲|zhou1
蒹|jian1
撮|zuo3
慇|yin1
辞|ci2
鬃|zong1
拂|fu2
豦|qu2
趷|ke1
雍|yong1
柯|ke1
嫠|li2
豪|hao2
角|jue2
箝|qian2
祟|sui4
柄|bing3
蛡|yi4
唫|yin2
柱|zhu4
嘦|jiao4
萣|ding4
橾|shu1
熙|xi1
僭|jian4
曦|xi1
谟|mo2
蒉|kui4
噂|zun3
鞶|pan2
妉|dan1
臽|xian4
槹|gao1
赁|lin4
精|jing1
鸾|luan2
懵|meng3
黹|zhi3
蓁|zhen1
袼|ge1
进|jin4
暾|tun1
仕|shi4
螣|teng2
匕|bi3
诖|gua4
芲|lun2
拎|lin1
柎|fu1
幔|man4
泫|xuan4
逭|huan4
糒|bei4
躯|qu1
强|qiang3
籯|ying2
酯|zhi3
脘|wan3
厜|zui1
净|jing4
剕|fei4
历|li4
挎|kua4
齿|chi3
褓|bao3
鄬|wei2
缟|gao3
翮|he2
㞙|niao4
邠|bin1
利|li4
颊|jia2
暁|xiao3
垱|dang4
軶|e4
惦|dian4
鲱|fei1
镠|liu2
鄄|Juan4
茨|ci2
倪|ni2
吧|ba5
蝉|chan2
席|xi2
龖|da2
桚|zan3
棉|mian2
㐫|xiong1
倭|wo1
嘌|piao4
歩|bu4
蛭|zhi4
涯|ya2
砂|sha1
籹|nu:3
棑|pai2
耗|hao4
斥|chi4
售|shou4
鲲|kun1
氖|nai3
讵|ju4
槾|man2
鷬|huang2
悯|min3
卢|lu2
狙|ju1
籥|yue4
嘐|xiao1
惆|chou2
胄|zhou4
辑|ji2
毴|bi1
鉴|jian4
籝|ying2
蟑|zhang1
塘|tang2
躙|lin4
札|zha2
连|lian2
暹|xian1
窘|jiong3
棩|yuan1
瘯|cu4
鴎|ou1
昌|chang1
縰|xi3
峤|jiao4
熸|jian1
返|fan3
罶|liu3
鞚|kong4
俐|li4
茅|mao2
匶|jiu4
窕|tiao3
鄎|xi4
傤|zai4
痂|jia1
俜|ping1
盛|sheng4
漱|shu4
朩|xx5
阍|hun1
儒|ru2
冃|mao4
㛂|nuo3
柊|zhong1
巃|long2
慕|mu4
瑱|zhen4
欷|xi1
浉|Shi1
寙|yu3
枌|fen2
祺|qi2
觎|yu2
彬|bin1
蚖|yuan2
隽|jun4
阨|e4
谏|jian4
让|rang4
状|zhuang4
健|jian4
脥|qian3
稃|fu1
嫩|nen4
隹|zhui1
媬|bao3
辖|xia2
渶|Ying1
涔|cen2
他|ta1
鎉|ta4
劣|lie4
鄢|Yan1
皫|piao3
郙|fu3
觚|gu1
螯|ao2
鉾|mou2
刎|wen3
醌|kun1
姤|gou4
愦|kui4
鳯|feng4
冧|lin2
礓|jiang1
伏|fu2
琴|qin2
唰|shua1
遛|liu4
族|zu2
樯|qiang2
渮|ge1
馕|nang3
镎|na2
嗜|shi4
皃|mao4
翙|hui4
趺|fu1
蟓|xiang4
殒|yun3
硕|shuo4
焓|han2
谕|yu4
计|ji4
谽|han1
清|qing1
庸|yong1
迢|tiao2
戎|rong2
甏|bang4
恂|xun2
揻|wei1
艻|le4
篠|xiao3
躇|chu2
嘹|liao2
牚|cheng1
惹|re3
瞹|ai4
轙|yi3
髞|sao4
垅|long3
懦|nuo4
緤|xie4
鹳|guan4
軷|ba2
溅|jian4
蓖|bi4
扉|fei1
薷|ru2
萰|lian4
蟅|zhe4
邆|teng2
鮨|qi2
缞|cui1
扰|rao3
敉|mi3
狠|hen3
默|mo4
沨|feng1
梼|tao2
氩|ya4
郰|zou1
僴|xian4
緁|jie2
墙|qiang2
孖|zi1
龋|qu3
燋|jiao1
蔀|bu4
梧|wu2
奴|nu2
濒|bin1
舴|ze2
棱|leng2
獣|shou4
蘑|mo2
穋|lu4
啐|cui4
添|tian1
者|zhe3
谡|su4
施|shi1
豭|jia1
臖|xing4
勃|bo2
颁|ban1
滦|Luan2
忤|wu3
蹪|tui2
债|zhai4
桦|hua4
硝|xiao1
佛|fu2
陧|nie4
祘|suan4
李|li3
钥|yue4
吹|chui1
司|si1
紩|zhi4
齐|qi2
饄|tang2
声|sheng1
忉|dao1
痳|lin2
瑔|quan2
锇|e2
追|zhui1
㐷|ma4
顿|dun4
鲚|ji4
燠|yu4
鸬|lu2
瓮|weng4
孶|zi1
粨|bai3 mi3
方|fang1
狡|jiao3
荁|huan2
気|qi4
翾|xuan1
祭|ji4
眞|zhen1
浔|xun2
禊|xi4
旒|liu2
楝|lian4
假|jia3
朣|tong2
罕|han3
载|zai4
酾|shi1
怡|yi2
筋|jin1
鸥|ou1
缣|jian1
嚆|hao1
盈|ying2
乢|gai4
轶|yi4
克|ke4
痫|xian2
釢|nai3
㤅|ai4
斓|lan2
尲|gan1
癀|huang2
蕻|hong4
讶|ya4
蜜|mi4
篱|li2
枫|feng1
坝|ba4
曙|shu3
榄|lan3
轿|jiao4
鬓|bin4
蛴|qi2
喱|li2
今|jin1
咢|e4
硾|zhui4
袜|wa4
皓|hao4
婙|jing4
踯|zhi2
纑|lu2
瓼|li3 wa3
崎|qi2
鳻|fen1
褀|qi2
筛|shai1
麄|cu1
中|zhong4
蒙|meng2
晞|xi1
耡|chu2
之|zhi1
髹|xiu1
萌|meng2
癖|pi3
桷|jue2
汇|hui4
冼|Xian3
舱|cang1
巅|dian1
韛|bai4
娘|niang2
圴|zhuo2
锛|ben1
僩|xian4
办|ban4
培|pei2
肄|yi4
斫|zhuo2
胸|xiong1
鼹|yan3
梓|zi3
薶|wo1
咦|yi2
壈|lan3
醢|hai3
定|ding4
褉|xie1
衈|er4
湌|can1
夥|huo3
逃|tao2
杯|bei1
队|dui4
艗|yi4
镫|deng4
炲|tai2
睛|jing1
䍃|yao2
坏|huai4
川|chuan1
豢|huan4
枢|shu1
褽|wei4
呿|qu1
听|ting4
燰|wei1
遣|qian3
颜|yan2
院|yuan4
猪|zhu1
抄|chao1
鏾|san3
黯|an4
敃|min3
緫|zong3
烕|mie4
抹|mo4
条|tiao2
玡|ya2
欣|xin1
晥|Wan3
秸|jie1
翖|xi1
鬘|man2
塠|dui1
瑂|mei2
掼|guan4
圂|hun4
骆|luo4
墩|dun1
豳|Bin1
踅|xue2
皒|e2
凤|feng4
籸|shen1
聍|ning2
坕|jing1
奌|dian3
丶|zhu3
滹|Hu1
铗|jia2
宇|yu3
焦|jiao1
砢|luo3
撒|sa3
膘|biao1
勋|xun1
彻|che4
菀|wan3
剃|ti4
跏|jia1
胃|wei4
龙|long2
颉|xie2
驸|fu4
郄|Xi4
笨|ben4
昑|qin3
尩|wang1
刚|gang1
実|shi2
裴|Pei2
为|wei4
翃|hong2
证|zheng4
篑|kui4
迄|qi4
且|qie3
膴|hu1
谶|chen4
圀|guo2
䲠|chun1
㕯|ne4
筲|shao1
磺|huang2
技|ji4
傮|zao1
诿|wei3
芴|wu4
䅵|zhuo2
慰|wei4
殥|yin2
杴|xian1
韫|yun4
崭|zhan3
韬|tao1
渍|zi4
哤|mang2
䓕|wei3
廧|qiang2
琱|diao1
觐|jin4
寞|mo4
冑|zhou4
啷|lang1
灺|xie4
䯝|sui3
厥|jue2
骟|shan4
焢|kong4
狃|niu3
诧|cha4
欺|qi1
単|dan1
榖|gu3
蔓|man4
杂|za2
籫|zuan3
笔|bi3
戏|xi4
曀|yi4
势|shi4
殣|jin4
濇|se4
碉|diao1
蜽|liang3
杕|di4
嶓|bo1
摧|cui1
愕|e4
虮|ji3
蚍|pi2
鱥|gui4
豕|shi3
醭|bu2
九|jiu3
夹|jia2
歪|wai3
螓|qin2
轗|kan3
藙|yi4
浃|jia1
觜|zui3
鷄|ji1
衋|xi4
匍|pu2
哩|li5
榉|ju3
缠|chan2
蔂|lei2
蔳|qian4
邸|di3
汀|ting1
悍|han4
丼|jing3
璀|cui3
额|e2
鼚|chang1
等|deng3
镁|mei3
㵪|xian2
乪|nang1
澐|yun2
晤|wu4
能|neng2
饩|xi4
巡|xun2
鲎|hou4
噜|lu1
汰|tai4
窸|xi1
庳|bi4
刃|ren4
奎|kui2
瞭|liao4
良|liang2
桹|lang2
圻|qi2
剞|ji1
穵|wa1
黜|chu4
帻|ze2
尖|jian1
卿|qing1
摊|tan1
堲|ji2
煅|duan4
扈|hu4
隩|yu4
㶉|xi1
孑|jie2
翩|pian1
厰|chang3
澜|lan2
榨|zha4
臆|yi4
汞|hong4
断|duan4
拯|zheng3
悝|li3
鎝|ta3
巩|gong3
镑|bang4
侑|you4
馣|yan3
襽|lan2
臊|sao4
踆|qun1
摸|mo2
哼|heng1
憬|jing3
魬|fan3
皿|min3
悪|e4
帔|pei4
阃|kun3
咩|mie1
毙|bi4
罭|yu4
戌|xu1
冥|ming2
述|shu4
饪|ren4
倞|liang4
葹|shi1
祜|hu4
琵|pi2
毳|cui4
寔|shi2
乤|xx5
蛘|yang2
褛|lu:3
菊|ju2
蜗|wo1
热|re4
搣|mie4
瑚|hu2
鹑|chun2
剐|gua3
袤|mao4
屌|diao3
䠀|chang3
黱|dai4
涝|lao4
芋|yu4
洑|fu2
忻|xin1
尜|ga2
鑴|xi4
穴|xue2
澶|chan2
坂|ban3
蚬|xian3
冓|gou4
桭|zhen1
蹾|dun1
砮|nu3
胱|guang1
幩|fen2
州|zhou1
你|ni3
姮|heng2
泂|jiong3
瓯|ou1
鳞|lin2
綘|feng2
设|she4
厞|fei4
呙|wai1
町|ting3
绳|sheng2
蠖|huo4
颥|ru2
啍|tun1
荬|mai3
康|kang1
荐|jian4
韔|chang4
临|lin2
伪|wei3
駯|zhu1
哚|duo3
剜|wan1
铏|xing2
摙|lian3
免|wen4
详|xiang2
蚨|fu2
瑽|cong1
瓁|wo4
赈|zhen4
蹶|jue3
鴔|fu2
咇|bi4
苌|chang2
砅|li4
踤|cu4
蹰|chu2
绪|xu4
臂|bi4
祷|dao3
行|xing2
堭|huang2
惛|hun1
梢|shao1
玎|ding1
咀|ju3
烊|yang2
惄|ni4
嗥|hao2
孻|lai2
埭|dai4
蜎|yuan1
冫|bing1
塈|ji4
朅|qie4
损|sun3
罎|tan2
腯|tu2
觍|tian3
渎|du2
眷|juan4
猸|mei2
郐|Kuai4
榰|zhi1
谐|xie2
父|fu4
揩|kai1
祔|fu4
㒸|sui4
伸|shen1
轒|fen2
瓒|zan4
邂|xie4
弥|mi2
螗|tang2
轳|lu2
亦|yi4
狗|gou3
感|gan3
圬|wu1
疣|you2
缔|di4
摎|liao2
臞|qu2
胼|pian2
缘|yuan2
注|zhu4
潏|jue2
嚝|hong1
薿|ni3
骦|shuang1
碓|dui4
憯|can3
躬|gong1
斈|xue2
铻|wu2
存|cun2
骂|ma4
胍|gua1
徊|huai2
蚉|wen2
麃|pao2
榾|gu3
髫|tiao2
氕|pie1
闳|hong2
圃|pu3
禳|rang2
蕲|qi2
㐜|chou2
签|qian1
噛|nie4
装|zhuang1
攈|jun4
俤|di4
伎|ji4
酗|xu4
売|mai4
学|xue2
基|ji1
灴|hong2
秏|hao4
谎|huang3
啜|chuo4
殊|shu1
帕|pa4
绕|rao4
倹|jian3
阻|zu3
扛|gang1
鑳|jian4
久|jiu3
氟|fu2
鳖|bie1
冔|xu3
圛|yi4
胫|jing4
鄠|hu4
纉|zuan3
瘖|yin1
觊|ji4
坋|ben4
锱|zi1
洊|jian4
杞|qi3
伽|jia1
截|jie2
汝|ru3
停|ting2
芮|rui4
廒|ao2
偎|wei1
耜|si4
迓|ya4
兑|dui4
罠|min2
揜|yan3
萤|ying2
啫|zhe3
奖|jiang3
詑|tuo2
鶦|hu2
出|chu1
棹|zhao4
除|chu2
玑|ji1
橄|gan3
料|liao4
汐|xi1
飔|si1
儿|r5
鰕|xia1
赧|nan3
僮|tong2
橧|zeng1
硚|qiao2
娓|wei3
麖|jing1
髀|bi4
竾|chi2
陬|zou1
伐|fa2
照|zhao4
摷|jiao3
瘗|yi4
厉|li4
场|chang3
媾|gou4
恻|ce4
㐄|kua4
称|cheng4
蕶|ling2
赅|gai1
駅|yi4
优|you1
蟷|dang1
馄|hun2
糅|rou2
谊|yi4
鴢|you4
肉|rou4
夭|yao1
茳|jiang1
沟|gou1
鲀|tun2
鍏|wei2
覅|fiao4
宪|xian4
渇|ke3
砸|za2
由|you2
蝰|kui2
琥|hu3
韹|huang2
娇|jiao1
荣|rong2
魉|liang3
螨|man3
胁|xie2
疕|bi3
千|qian1
鳓|le4
玠|jie4
蹇|jian3
鄘|Yong1
俭|jian3
腱|jian4
犗|jie4
戻|li4
壜|tan2
幨|chan1
潕|wu3
舳|zhu2
羭|yu2
响|xiang3
翅|chi4
豺|chai2
嗰|ge3
乺|xx5
坳|ao4
缨|ying1
潆|ying2
抖|dou3
麒|qi2
镔|bin1
觔|jin1
逛|guang4
畷|chuo4
廉|lian2
煕|xi1
鉳|bei3
輤|qian4
烔|tong2
箓|lu4
嶰|xie4
郦|Li4
巨|ju4
櫠|fei4
冣|ju4
知|zhi1
赓|geng1
笉|qin3
懔|lin3
偶|ou3
鼛|gao1
腈|jing1
謪|shang1
痰|tan2
驱|qu1
碧|bi4
瞤|shun4
霒|yin1
猁|li4
頳|cheng1
抑|yi4
酬|chou2
瞩|zhu3
圯|yi2
秃|tu1
开|kai1
吖|a1
珇|zu3
䫏|qi1
锧|zhi4
躘|long2
炝|qiang4
悔|hui3
臾|yu2
抡|lun2
扗|zai4
㐖|Ye4
庥|xiu1
嶂|zhang4
帚|zhou3
甭|beng2
柺|guai3
蝠|fu2
铩|sha1
誧|pu3
硁|keng1
炱|tai2
梗|geng3
靑|qing1
映|ying4
踧|cu4
㵮|chun2
岿|kui1
捼|ruo2
寖|jin4
髲|pi4
茻|mang3
榱|cui1
战|zhan4
蠸|quan2
鸿|hong2
嶪|ye4
呖|li4
孪|luan2
钐|shan1
莫|mo4
沁|qin4
刿|gui4
肊|yi4
淓|Fang1
啥|sha2
稚|zhi4
太|tai4
软|ruan3
倌|guan1
忲|tai4
舞|wu3
谚|yan4
杖|zhang4
迁|qian1
秀|xiu4
庞|pang2
展|zhan3
蛇|she2
䦕|peng1
翌|yi4
涠|wei2
爓|yan4
萝|luo2
锭|ding4
莞|wan3
摀|wu3
绵|mian2
壆|bo2
窥|kui1
睿|rui4
龂|yin2
幪|meng2
带|dai4
髣|fang3
梹|bing1
鱆|zhang1
丆|xx5
芕|sui1
勤|qin2
洺|ming2
戁|nan3
哢|long4
稨|bian3
㹴|geng3
弛|chi2
邘|yu2
拳|quan2
波|bo1
蜷|quan2
将|qiang1
冡|meng2
虞|yu2
醮|jiao4
樟|zhang1
蟿|qi4
耰|you1
烘|hong1
琦|qi2
狰|zheng1
膺|ying1
嫈|ying1
耕|geng1
妓|ji4
腍|ren3
是|shi4
亨|heng1
环|huan2
宴|yan4
竃|zao4
○|ling2
杰|jie2
圊|qing1
扃|jiong1
甗|yan3
疮|chuang1
爟|guan4
账|zhang4
嗛|qian4
蘅|heng2
黇|tian1
成|cheng2
鸤|shi1
衙|ya2
膆|su4
惋|wan3
苉|pi3
鳕|xue3
篨|chu2
錴|lu4
斡|wo4
坞|wu4
沌|dun4
丰|feng1
灉|yong1
姺|xian3
厕|si4
辿|chan1
消|xiao1
螘|yi3
雒|luo4
鱮|xu4
垤|die2
辚|lin2
弼|bi4
鳏|guan1
嫜|zhang1
俴|jian4
攒|zan3
浰|li4
髭|zi1
倩|qian4
揵|qian2
蛣|jie2
鰛|wen1
舐|shi4
岘|xian4
魏|wei4
兝|fen1 ke4
鲞|xiang3
駴|xie4
镟|xuan4
缄|jian1
样|yang4
錔|ta4
跺|duo4
潋|lian4
槟|bing1
跅|tuo4
短|duan3
牍|du2
咺|xuan3
瑾|jin3
楯|shun3
酂|zan4
垝|gui3
晬|zui4
埕|cheng2
共|gong4
儳|chan4
苫|shan1
岑|cen2
姒|si4
暴|bao4
歜|chu4
钖|yang2
楀|Yu3
弊|bi4
淡|dan4
钘|xing2
罖|xx5
蔃|qiang2
廥|kuai4
疏|shu1
峁|mao3
晏|yan4
啶|ding4
㲱|lie4
卅|sa4
逆|ni4
吏|li4
背|bei4
燿|yao4
癃|long2
讨|tao3
餤|tan2
鱄|zhuan1
轺|yao2
釆|bian4
汽|qi4
厗|ti2
捘|zun4
笤|tiao2
櫡|zhu4
痗|mei4
丐|gai4
葧|bo2
贝|bei4
筜|dang1
泽|ze2
婢|bi4
唡|liang3
薤|xie4
绩|ji4
镞|zu2
猟|lie4
澴|huan2
儱|long3
咕|gu1
萍|ping2
衷|zhong1
哧|chi1
揣|chuai3
蕹|weng4
衿|jin1
瘴|zhang4
峻|jun4
湲|yuan2
膫|liao2
髝|lao2
柜|gui4
斄|Tai2
焯|chao1
挚|zhi4
爫|zhao3
猷|you2
畇|yun2
茈|zi3
峃|xue2
鄻|lian3
狴|bi4
氮|dan4
蟪|hui4
膜|mo2
梆|bang1
谦|qian1
掤|bing1
滔|tao1
獜|lin2
殂|cu2
莠|you3
畤|zhi4
沅|Yuan2
纤|xian1
庀|pi3
豉|chi3
纥|he2
胶|jiao1
侮|wu3
顾|gu4
痍|yi2
砗|che1
隧|sui4
莎|suo1
軡|Qian2
蛌|gu3
畽|tuan3
駜|bi4
赵|zhao4
涷|dong1
芍|shao2
晔|ye4
柬|jian3
蒭|chu2
己|ji3
嚅|ru2
搏|bo2
碱|jian3
呦|you1
惺|xing1
忘|wang4
礚|ke1
殴|ou1
结|jie2
㥁|de2
跳|tiao4
襥|fu2
濯|zhuo2
踌|chou2
骐|qi2
糢|mo2
赠|zeng4
鸓|lei3
篼|dou1
莭|jie2
邃|sui4
鬟|huan2
疲|pi2
邷|wa3
处|chu4
蓌|cuo4
岀|chu1
荀|xun2
镪|qiang3
诜|shen1
暕|jian3
艟|chong1
璸|bin1
脍|kuai4
箸|zhu4
㬎|xian3
怂|song3
苞|bao1
倒|dao4
包|bao1
兕|si4
可|ke4
赭|zhe3
酲|cheng2
铢|zhu1
蝴|hu2
显|xian3
拌|ban4
偰|xie4
愍|min3
浈|zhen1
里|li3
不|bu4
舷|xian2
莓|mei2
沢|ze2
仰|yang3
尢|wang1
駗|zhen1
煲|bao1
台|tai2
续|xu4
粬|qu1
产|chan3
秒|miao3
综|zong1
憃|chong1
郳|ni2
浤|hong2
邝|Kuang4
项|xiang4
丸|wan2
膂|lu:3
钱|qian2
廀|sou1
奨|jiang3
舡|gang1
殳|shu1
唈|yi4
艹|cao3
鄐|Chu4
儍|sha3
抠|kou1
鹭|lu4
被|bei4
圾|ji1
蝻|nan3
病|bing4
吴|Wu2
芷|zhi3
姬|ji1
廛|chan2
至|zhi4
骊|li2
澰|lian4
稠|chou2
峡|xia2
舸|ge3
讼|song4
弢|tao1
朗|lang3
孽|nie4
喷|pen4
拖|tuo1
莿|ci4
涫|guan4
睢|sui1
谜|mi2
梣|chen2
幕|mu4
徜|chang2
槖|tuo2
貤|yi2
挍|jiao4
矫|jiao3
辉|hui1
孅|xian1
琛|chen1
碗|wan3
勗|xu4
鹃|juan1
斨|qiang1
俎|zu3
埄|feng1
籓|fan1
熹|xi1
刨|bao4
腭|e4
主|zhu3
脲|niao4
刌|cun3
啬|se4
泈|Zhong1
芙|fu2
淜|peng2
鸦|ya1
瓧|shi2 wa3
蒋|Jiang3
鹛|mei2
熀|huang3
囡|nan1
鬻|yu4
卷|juan3
拱|gong3
挽|wan3
撧|jue1
镆|mo4
嬿|yan4
熿|huang2
慅|sao1
焴|yu4
珃|ran3
箩|luo2
绹|tao2
颈|jing3
棯|ren3
芄|wan2
膷|xiang1
薮|sou3
予|yu3
伙|huo3
茱|zhu1
达|da2
硌|ge4
幢|zhuang4
葺|qi4
腘|guo2
氚|chuan1
孥|nu2
寓|yu4
込|xx5
噪|zao4
余|yu2
冉|ran3
瞍|sou3
恚|hui4
镸|chang2
衟|dao4
〧|qi1
圧|ya1
温|wen1
慨|kai3
簉|zao4
壬|ren2
迤|yi3
巷|xiang4
虎|hu3
玞|fu1
橥|zhu1
觿|xi1
掘|jue2
䌷|chou2
韅|xian3
解|xie4
乓|pang1
沕|wu4
醖|yun4
遭|zao1
喳|zha1
䔢|hua2
眨|zha3
龄|ling2
赚|zuan4
敹|liao2
歘|xu1
崁|kan4
殃|yang1
蔉|gun3
丙|bing3
洋|yang2
两|liang3
心|xin1
艚|cao2
座|zuo4
巠|jing1
悾|kong1
窠|ke1
唐|tang2
抽|chou1
鼍|tuo2
蔗|zhe4
莰|kan3
艏|shou3
芽|ya2
残|can2
滉|huang3
沂|Yi2
淮|Huai2
鸽|ge1
峹|tu2
镡|xin2
帙|zhi4
躁|zao4
尺|chi3
鞣|rou2
騉|kun1
疥|jie4
赣|Gan4
鼠|shu3
磈|wei3
禜|yong3
鳍|qi2
嫙|xuan2
玃|jue2
铄|shuo4
掂|dian1
拇|mu3
嚃|ta4
妅|hong2
锵|qiang1
髯|ran2
檨|she1
幈|ping2
儤|bao4
聝|guo2
䗥|zong1
洏|er2
酶|mei2
豣|jian1
镻|die2
尴|gan1
厦|sha4
媕|an1
㗎|jia4
鬵|qian2
赋|fu4
模|mu2
虰|ding1
嵌|qian4
憹|nao2
信|xin4
轼|shi4
蠕|ru2
秋|qiu1
粰|fu1
洞|dong4
奋|fen4
镝|di2
叉|cha3
蓠|li2
谉|shen3
菠|bo1
丧|sang4
雁|yan4
绽|zhan4
鸸|er2
姽|gui3
嘻|xi1
嚱|xi1
枱|tai2
凥|ju1
痪|huan4
綀|shu1
樶|zui1
窨|yin4
匣|xia2
尊|zun1
咽|yan4
酹|lei4
牷|quan2
汶|Wen4
嫐|nao3
蔟|cu4
锆|gao4
继|ji4
政|zheng4
蟒|mang3
绑|bang3
羲|Xi1
傎|dian1
斜|xie2
咣|guang1
螺|luo2
奂|huan4
権|quan2
楩|pian2
瓛|huan2
阘|ta4
篯|Jian1
牮|jian4
昏|hun1
猭|yuan2
敝|bi4
